GlobalPropertyID,cleanliness_score,food_score,sleep_score,internet_score,amenities_score,final_score
42,0.5,0.875949,0.769737,0.802057,0.434783,0.676505
54,0.615385,0.946835,0.976974,0.874036,0.73913,0.830472
29,0.384615,0.787342,0.746711,0.694087,0.347826,0.592116
71,0.576923,0.822785,0.700658,0.820051,0.565217,0.697127
68,0.423077,0.805063,0.884868,0.820051,0.347826,0.656177
34,0.230769,0.539241,0.493421,0.694087,0.304348,0.452373
51,0.269231,0.610127,0.493421,0.676093,0.217391,0.453252
41,0.269231,0.574684,0.539474,0.640103,0.26087,0.456872
46,0.346154,0.627848,0.493421,0.748072,0.347826,0.512664
40,0.384615,0.079252,0.163043,0.050967,0.391304,0.213836
70,0.384615,0.627848,0.585526,0.568123,0.26087,0.485397
43,0.461538,0.308861,0.424342,0.208226,0.478261,0.376246
67,0.423077,0.698734,0.631579,0.712082,0.391304,0.571355
53,0.230769,0.521519,0.470395,0.712082,0.217391,0.430431
32,0.192308,0.592405,0.585526,0.712082,0.304348,0.477334
63,0.576923,0.964557,0.930921,0.892031,0.608696,0.794626
35,0.230769,0.539241,0.493421,0.694087,0.304348,0.452373
45,0.653846,0.946835,0.930921,0.96401,0.73913,0.846949
38,0.115385,0.167089,0.194079,0.064267,0.086957,0.125555
48,0.038462,0.64557,0.447368,0.622108,0.086957,0.368093
26,0.615385,0.787342,0.746711,0.856041,0.695652,0.740226
72,0.230769,0.681013,0.654605,0.622108,0.173913,0.472482
39,0.076923,0.663291,0.585526,0.622108,0.173913,0.424352
57,1.0,0.858228,0.953947,1.0,1.0,0.962435
61,0.615385,0.946835,0.838816,0.784062,0.695652,0.77615
69,0.538462,0.76962,0.723684,0.838046,0.391304,0.652223
36,0.5,0.468354,0.585526,0.496144,0.521739,0.514353
25,0.192308,0.734177,0.631579,0.622108,0.173913,0.470817
31,0.461538,0.521519,0.401316,0.676093,0.478261,0.507745
30,0.230769,0.64557,0.631579,0.604113,0.347826,0.491971
50,0.5,0.131646,0.217105,0.010283,0.478261,0.267459
60,0.269231,0.574684,0.493421,0.640103,0.347826,0.465053
49,0.115385,0.681013,0.5625,0.640103,0.0,0.3998
47,0.576923,0.858228,0.815789,0.838046,0.608696,0.739536
66,0.615385,0.76962,0.792763,0.820051,0.608696,0.721303
37,0.538462,0.787342,0.769737,0.640103,0.521739,0.651476
28,0.461538,0.929114,0.953947,0.856041,0.565217,0.753172
59,0.615385,0.822785,0.861842,0.982005,0.608696,0.778142
33,0.186813,0.0,0.0,0.0,0.167702,0.070903
65,0.153846,0.521519,0.424342,0.550129,0.086957,0.347358
64,0.423077,0.663291,0.769737,0.712082,0.391304,0.591898
62,0.615385,1.0,1.0,0.96401,0.652174,0.846314
55,0.692308,0.964557,0.976974,0.892031,0.782609,0.861696
27,0.5,0.450633,0.470395,0.352185,0.478261,0.450295
56,0.576923,0.858228,0.953947,0.802057,0.608696,0.75997
58,0.269231,0.574684,0.493421,0.640103,0.347826,0.465053
73,0.0,0.556962,0.493421,0.550129,0.173913,0.354885
