hotel_id,title,score,stay_date,positive,negative
45,Excepţional,10,mai 2025,"Totul a fost exact ca in poze.Gazda foarte prompta in informatii,ne-a asteptat si cu o mica surpriza ,totul a fost perfect.Locatia este chiar in centrul vechi al orasului aproape de terase si faleza cazinoului.Recomand !",
45,Relaxare,10,mai 2025,Foarte cumsecade și curat,Încălzirea un pic mai greu
45,Excepţional,10,aprilie 2025,"Atenția la detalii și întreg serviciul oferit.
Pentru mulți dintre cei care sunt în acest domeniu ar trebui să ia notițe despre cum ar trebui să arate cazarea, curățenia și primirea.
Mulțumim și pentru celelalte mici atenții care nu erau incluse în prețul camerei, pe care la puțini le-am văzut și la mulți lipesc.",Nu am găsit.
45,Recomand!!,10,aprilie 2025,"Este o cazare foarte frumoasă, cu o poziție centrală bună. În camere era curat și mirosea extrem de frumos iar cei care gestionează cazarea au fost foarte atenți la toate detaliile(bombonele, prăjiturele, prosecco🤭)",-
45,Excepţional,10,februarie 2025,"O locație cu mult gust, moderna la interior dar în același timp boema.",Nu există
45,Confort si relaxare la malul marii in ianuarie,10,ianuarie 2025,"Totul a fost impecabil, incepand cu rezervarea si pana la plecare.
- Comunicare excelenta. 
- Designul interior al camerei si al intregii proprietati.
- Balconul.
- Locatie foarte buna in centrul Constantei, aproape de plaja, port si zona de restaurante/baruri. 
- Cele doua terase cu vedere catre mare si port. 
- Curatenie in camera in fiecare zi. 
- Atentia pentru detalii (aparat de cafea/ceai in camera si o cafea f buna, sticle de apa zilnic, briose si biletelul de bun venit scris de mana)
Ne-am simtit excelent si vom reveni cu placere.",
45,Excepţional,10,ianuarie 2025,"Mi-a placut amabilitatea proprietarei, mesajul de bun venit, pecum si micile atentii. Aceste lucruri imi spun ca este preocupata ca cei care vin sa se simta bine si sa mai revina, ceea ce ne dorim si noi.",Nu a fost ceva care sa imi displaca.
45,Excepţional,10,ianuarie 2025,"Un hotel boutique excelent, situat perfect în centrul Constanței. Camere elegante, curate, cu toate facilitățile . Locația ideală pentru a explora orașul și a te relaxa. Recomand cu încredere!",
45,Foarte frumos !,10,octombrie 2024,Totul,
45,Excepţional,10,octombrie 2024,"Foarte plăcut și cu bun gust ......curat ,frumos ,călduros ....Chiar lângă piata Ovidiu ....Clădire superbă ...La ultimul etaj este i terasa de unde se vede marea și totul împrejur .",-
45,Daca vreti un sejur in centrul Constantei la doi pasi de portul maritim si trei pasi de portul Tomis,10,septembrie 2024,"Locatia este superba! Una dintre cele mai tari camere single, din tot ce am vazut in ultimii multi ani. Camera perfecta pentru un cuplu care isi doreste sa petreaca un sejur minunat in Constanta, capitala de la malul marii.",Nimic. Totul a fost perfect.
45,Totul afost bine.,10,Aug-24,N-am avut mic dejun. Locație excelentă. Ambianță perfectă. Central și cu toate acestea liniște în timpul nopții.,Totul a fost perfect.
45,O locatie perfecta in Constanta,10,Aug-24,"Tomis' Dreams este o locatie perfecta pentru un sejur in Constanta. Camera este o placere, mobilata modern si frumos. Gazda a fost foarte atenta la detalii, lasandu-ne pana si cafea si aparat pentru tantari :)) De asemenea, aceasta ne-a raspuns la toate solicitarile si de abia asteptam sa revenim!","Totul a fost perfect, nimic de reprosat"
45,"Ne-am simtit foarte bine, cu siguranta vom reveni!",10,Aug-24,"Locatia  foarte buna, gazda s-a preocupat sa avem tot ce ne trebuie, camera foarte curata!","Baia foarte frumoasa, insa mult prea mica."
45,Superb,9,Aug-24,"Amplasarea clădirii, într-o zonă animată a centrului vechi al Constanței
Camera mare, amenajată interesant
Curățenia
Amabilitatea personalului",
45,Impresionant,10,iulie 2024,"O gazdă primitoare, cu o disponibilitate peste asteptari, cu o eleganță în abordare de excepție care a sprijinit acomodarea mai mult decât ne așteptam. Siguranța locației o notăm cu 10*. 
Amplasarea este mai mult decât potrivită.
Curățenia se face zilnic, fără să fi deranjat, iar dacă ai situații în care nu părăsești camera, eleganța personalului este apreciabilă.
Toată atmosfera creată în întreaga clădire te îndeamnă să te rupi complet de cotidian.
Terasa de pe care se poate vedea marea, poate fi ușor confundată cu terasele spaniole- aer boem, relaxant de unde poți admira răsăritul sau apusul cu cafeaua în mână. Un spațiu unic, pentru care va felicit !",
45,"Singurătatea ucide, iubesc iubirea...",9,Aug-24,Că a fost liniște...semi lux... intimitate.,"Prea multă liniște...prea multă intimitate...și lipsa liftului 😅
Îmi place să vorbesc cu angajații, o recepționeră, un barman sau un ospătar...nu există"
45,Excepţional,10,iulie 2024,"Totul a fost extraordinar de frumos! Curățenie impecabilă și gazda foarte atentă la nevoile oaspeților.
Terasa superioară de unde se vede marea și se poate admira răsăritul este superbă!",
45,"Cofotabila,dising curată și cu o amplasre în zona centrală de acces",10,iulie 2024,Super tare,
45,Perfect,10,octombrie 2023,Designul,Scarile de acces
45,Excepţional,10,Aug-23,"O locatie superba, printre cele mai frumoase cazari de care am avut parte! Locatia excelenta, chiar in centrul orasului, aproape de punctele de interes dar si de plaja (400 de m). 
O cladire decorata cu foarte mult gust si stil - foarte instagramabil :))))
Am mai stat in aceeasi zona, la cazari mult mai scumpe care nici macar nu se comparau cu aceasta.
Totul curat si impecabil - self check in si check out. Gazda a fost foarte amabila si intelegatoare, ne-a lasat sa facem check in-ul mai repede ca sa nu asteptam pe drumuri.
Recomand cu tot dragul, cu siguranta ne vom intoarce!",Mi-a placut totul.
45,Excepţional,10,Aug-23,"O locatie superba, totul a  fost la superlativ!",
45,Minunat,10,Aug-23,"Camera a fost foarte curata si amenajata superb, gazda foarte amabila.",
45,Excepţional,10,Aug-23,"Amplasarea e tot ce trebuie pentru a vedea istoria orașului Constanța. La câțiva pași de mare. Liniște, s-a făcut curat - curat pe nevăzute. Cazarea e de vis. Se merită e puțin spus. Voi reveni.",
48,Excepţional,10,iunie 2025,"Amplasare centrala, aproape si de plaja si de cazino, o multime de restaurante in jur dar si cel al hotelului este foarte bun. Camera curata, patul confortabil, espresor de cafea si doua sticle de apa in camera, acorda atentie detaliilor. Personalul foarte amabil, ne-au permis sa intram in camera cand am ajuns si sa eliberam tarziu camera fara niciun cost suplimentar. Este drept ca, fiind la inceputul sezonului, am avut cumva noroc sa nu fie nimeni cazat in camera respectiva nici inaintea noastra si nici imediat dupa noi, dar puteau refuza. Recomand, vom reveni",-
48,Excepţional,10,iunie 2025,"Domnișoara de la recepție a fost foarte amabila.
Clădirea și camera sunt foarte curate, patul confortabil.
Noi nu am avut cameră cu orientare spre strada principală, si totuși se auzea muzica de la petrecerile din timpul nopții. Totuși, daca vrei cazare in centru este un lucru la care ar trebui sa te aștepți, centru vechi din Constanta fiind destul de animat in timpul nopții.",
48,Relaxare maximă,10,mai 2025,"Camere mari, curate, un parfum proaspăt în camere. Locația minunată. Restaurantul este mult peste așteptări.",
48,Conform așteptărilor,9,mai 2025,"Locația centrala, camera mare, cu vedere la piață.",Gălăgia având în vedere ca este un pub-club la parter după ora 23.00 însă am informați de acest aspect.
48,Excepţional,10,mai 2025,"Locația, personalul amabil, micul dejun gustos.","Prosoapele din baie erau curate dar aveau ceva pete, recomand să le schimbați."
48,Excepţional,10,martie 2025,"Totul a fost la superlativ! Mic dejun foarte consistent si foarte bun! Curatenie, confort! Recomand cu incredere! Cu siguranta vom reveni!",
48,Placut,9,noiembrie 2024,Angajatii foarte amabili,
48,Foarte plăcut!,10,octombrie 2024,Locație foarte bună și curățenie exemplară.,Greu de reglat termostatul din cameră. Nu încălzește decât foarte greu. Chiar dat pe o treaptă mai mare tot nu face cald.
48,Excepţional,10,septembrie 2024,,"Micul dejun servit in restaurnat / lounge care nu apartine de hotel, dar este la parterul aceleiasi cladiri - nu este o atmosfera potrivita pentru mic dejun, mai degraba pentru iesire seara. Personalul de acolo poate obosit de la munca de cu o seara inainte, dar mancarea a fost cat de cat in ordine."
48,Foarte frumos,9,Aug-24,"-Camerele mari, spațioase;
- curățenia
-disponibilitatea personalului de a rezolva orice solicitare;
-apropierea de plaja, port si de zona cu restaurante","-☹️Frigiderul tip minibar nu a funcționat in niciuna dintre camerele rezervate;
- servirea micului dejun a durat foarte mult"
48,Superb,9,iunie 2024,"Locatia ultracentrala chiar in Piata Ovidiu, foarte aproape de zona de promenada si port. Camera foarte curata, personalul foarte amabil.",Aerul conditionat nu a racit suficient camera - noaptea a fost o temperatura cam ridicata in camera
48,Superb,9,mai 2024,F bine,
48,Satisfacator.,8,aprilie 2024,Proprietatea amenajata cu bun gust!,"Am fost surprinsi cand am ajuns la cazare, in camera sa fie insuportabil de cald, de la bataia soarelui. Am pornit AC-ul care a functionat 1h fara rezultat, ca intr un final sa iau legatura cu personalul, care intr un mod amabil mi a comunicat ca aerul conditionat nu functioneaza, s a comandat freon, dar comanda inca nu fusese livrata. As fi preferat sa fim anuntati inca de la inceput, avand in vedere ca pentru o noapte am platit o suma considerabila pt confortul nostru."
48,Excepţional,10,martie 2024,,"patul extra large ar fi putut sa fie chiar extralarge, nu doar de 160 cm"
48,Foarte bine,8,februarie 2024,"Locația este ok ,camere curate și utilate corespunzător, fata de la recepție foarte drăguță,  mic dejun  ok.","Nu mi-a plăcut faptul că în week-end la pab-ul de la parter este noapte de club și până la ora 4 dimineața au tremurat pereții și paharele de pe tăvița din cameră, și bineînțeles că nu am dormit."
48,Superb,9,noiembrie 2023,,Micul dejun
48,Foarte bine,8,octombrie 2023,"Locatia,personalul","Restaurantul era oficial inchis,deschis doar pentru  micul dejun al celor cazati la hotel.Scaunele si banchetele acoperite cu folie ,imposibilitatea de a lua micul dejun pe terasa.
Timpul de asteptare destul de mare pentru un mic dejun ,avand in vedere ca erau 2 mese ocupate,iar calitatea acestuia mediocra."
48,Superb,9,octombrie 2023,Camera  mare și vedere spre piata  Ovidiu.,"Am stat foarte mult la servirea micului dejun. În salon eram 6 oameni, eu am renunțat sa iau micul dejun dar sotu nu . A primit mancarea după 30min, pâinea prajita erea deja rece. Ma întreb cât ar fi durat dacă era hotelul plin."
48,Excepţional,10,octombrie 2023,"Locația excelenta, conditii de cazare excelente, domnișoara L o gazda minunata! Mulțumim și speram sa revenim.",Nu este cazul.
48,Foarte chic,9,septembrie 2023,"Este foarte elegant,foarte curat,iti dã impresia de hotel din perioada interbelicã ,dar este foarte modern în acelasi timp. Managerul,d-na Adriana este foarte atentã la cerintele clienťilor , foarte politicoasã si discretã. Ne-a  plãcut mult starea de bine pe care am simtit-o în hotel.","Micul dejun nu se potriveśte hotelului,trebuie ceva mai mult"
48,Excepţional,10,Aug-23,"Locatie excelenta, chiar in piata Ovidiu. Mic dejun copios, la alegere din 4 modele de mic dejun. Personalul ft amabil. Camera spatioasa si foarte curata.",
48,Eleganta si stil,10,iulie 2023,"Locatia excelenta,curatenie,confort,eleganta..",
48,Superb,9,iulie 2023,"Locația este minunată, curata și confortabilă. Poziționarea bună, personal amabil, camere mari.","Micul dejun este à la carte, deși am făcut rezervarea pentru 2 adulți și un copil, copilul nu a beneficiat de meniu."
48,Excepţional,10,aprilie 2023,"Foarte confortabil, exact în piață Ovidiu. Mic dejun gustos și diversificat. Aproape de restaurante și de plaja.",Locurile de parcare limitate.
51,Excepţional,10,iunie 2025,,"nu funcționa aerul condiționat, dar spre seară era relativ ok și fără. ar fii fost mai bine cu, dar per total a fost ok"
51,Superb,9,iunie 2025,#NAME?,#NAME?
51,Excepţional,10,mai 2025,Locurile de parcare sunt o problema,
51,Superb,9,mai 2025,"Locația, micul dejun",Nu s-a făcut curățenie în nici o zi
51,Excepţional,10,mai 2025,"mic dejun foarte gustos si proaspat
la 5 minute de mers pe jos la plaja
curatenie
pat mare si confortabil",
51,Minunat!,10,mai 2025,"Locatia, designul special si armonizat cu numele hotelului. Mirosul minunat atat din camera, cat si din holuri.
Locatia pt mic dejun - intima, potrivita, iluminatul foarte bun, desi se afla la demisol. Micul dejun excelent.",Saltelele ar putea fi schimbate.
51,Excelent,10,mai 2025,Totul,Nu a fost ceva sa nu mi placa
51,Excepţional,10,aprilie 2025,"Poziție foarte bună, personal zâmbitor, mic dejun de sărbătoare!",-
51,Excelent!,10,aprilie 2025,"Locatie, camere, confort, curatenie. Totul!",
51,"MINUNAT PENTRU CE A FOST , TRIST PENTRU PARAGINA",9,martie 2025,"CONSTRUCTIA IN SINE ESTE SUPERBA , AMPLASAREA EXCEPTIONALA.","TAPETUL TREBUIE SCHIMBAT, MOCHETA INLOCUITA CU PARCHET IAR AERUL CONDITIONAT DATEAZA DIN ANII 1980"
51,SUPER,10,martie 2025,"Personalul foarte amabil,camera frumos amenajată,curățenie. O să revenim cu plăcere ,totul a fost super!",
